German Cancer Research Center (DKFZ) - Heidelberg - Germany 
 https://RBP2GO.dkfz.de 
 Wassmer et al., 2023 
 
 
"InterPro_ID"	"Type"	"InterPro_Name"
"IPR023438"	"Family"	"Ribosomal protein L24e"
"IPR023529"	"Family"	"RNA chaperone ProQ"
"IPR023541"	"Family"	"rRNA small subunit methyltransferase B, enterobacteriaceae"
"IPR023585"	"Family"	"Isoleucine-tRNA ligase, type 1"
"IPR023586"	"Family"	"Isoleucine-tRNA ligase, type 2"
"IPR023617"	"Family"	"Tyrosine-tRNA ligase, archaeal/eukaryotic-type"
"IPR023672"	"Family"	"Ribosomal protein L2, archaeal-type"
"IPR023717"	"Family"	"Prolyl-tRNA synthetase, class IIa, type 1"
"IPR023949"	"Family"	"RNA polymerase-associated protein RapA"
"IPR024088"	"Family"	"Tyrosine-tRNA ligase, bacterial-type"
"IPR024107"	"Family"	"Tyrosine-tRNA ligase, bacterial-type, type 1"
"IPR024109"	"Family"	"Tryptophan-tRNA ligase, bacterial-type"
"IPR024667"	"Family"	"Heterogeneous nuclear ribonucleoprotein M"
"IPR024872"	"Family"	"HEXIM"
"IPR025708"	"Family"	"Heat shock protein 15"
"IPR025785"	"Family"	"Actin-histidine N-methyltransferase SETD3"
"IPR025806"	"Family"	"Probable methyltransferase TARBP1"
"IPR025958"	"Family"	"SID1 transmembrane family"
"IPR026122"	"Family"	"Helicase MOV-10"
"IPR026140"	"Family"	"28S ribosomal protein S26"
"IPR026146"	"Family"	"28S ribosomal protein S24, mitochondrial"
"IPR026258"	"Family"	"Signal recognition particle subunit SRP68"
"IPR026291"	"Family"	"G patch domain-containing protein 2"
"IPR026299"	"Family"	"Mitochondrial 28S ribosomal protein S31"
"IPR026502"	"Family"	"Histone RNA stem-loop-binding protein SLBP1/SLBP2"
"IPR026569"	"Family"	"Ribosomal protein L28/L24"
"IPR026632"	"Family"	"RAD51-associated protein 1"
"IPR026699"	"Family"	"Exosome complex RNA-binding protein 1/RRP40/RRP4"
"IPR026795"	"Family"	"Shiftless antiviral inhibitor of ribosomal frameshifting"
"IPR026963"	"Family"	"Aprataxin-like"
"IPR027073"	"Family"	"5'-3' exoribonuclease"
"IPR027093"	"Family"	"EAF family"
"IPR027141"	"Family"	"Like-Sm (LSM) domain containing protein, LSm4/SmD1/SmD3"
"IPR027157"	"Family"	"Nuclear cap-binding protein subunit 2"
"IPR027159"	"Family"	"Nuclear cap-binding protein subunit 1"
"IPR027175"	"Family"	"Toll-like receptor 8"
"IPR027205"	"Family"	"Plasminogen activator inhibitor 1 RNA-binding protein"
"IPR027248"	"Family"	"Small nuclear ribonucleoprotein Sm D2"
"IPR027491"	"Family"	"Ribosomal protein L31 type A"
"IPR027493"	"Family"	"Ribosomal protein L31 type B"
"IPR027498"	"Family"	"Ribosomal protein S2, eukaryotic"
"IPR027500"	"Family"	"40S ribosomal protein S1/3, eukaryotes"
"IPR027504"	"Family"	"40S ribosomal protein SA"
"IPR027516"	"Family"	"Eukaryotic translation initiation factor 3 subunit C"
"IPR027521"	"Family"	"U6 snRNA phosphodiesterase 1"
"IPR027976"	"Family"	"TATA box-binding protein-associated factor 1D"
"IPR028271"	"Family"	"RNA guanine-N7 methyltransferase activating subunit"
"IPR028333"	"Family"	"Ribosomal protein S17, archaeal/eukaryotic"
"IPR028364"	"Family"	"Ribosomal protein L1/ribosomal biogenesis protein"
"IPR028544"	"Family"	"Protein CASC3"
"IPR028605"	"Family"	"RISC-loading complex subunit TRBP2"
"IPR028617"	"Family"	"RNA polymerase sigma factor FliA"
"IPR028618"	"Family"	"ATP-dependent RNA helicase DeaD"
"IPR028621"	"Family"	"ATP-dependent RNA helicase SrmB"
"IPR028622"	"Family"	"ATP-dependent RNA helicase RhlE"
"IPR028625"	"Family"	"Regulator of nucleoside diphosphate kinase"
"IPR028743"	"Family"	"Insulin-like growth factor 2 mRNA-binding protein 2"
"IPR028806"	"Family"	"RNA-binding protein 6"
"IPR028877"	"Family"	"50S ribosomal protein L18Ae/60S ribosomal protein L20 and L18a"
"IPR028878"	"Family"	"Ribonuclease E"
"IPR028909"	"Family"	"Ribosomal protein L21-like"
"IPR029169"	"Family"	"PEST proteolytic signal-containing nuclear protein"
"IPR029199"	"Family"	"THRAP3/BCLAF1 family"
"IPR029321"	"Family"	"Integrator complex subunit 2"
"IPR029541"	"Family"	"Serine/arginine-rich splicing factor 6"
"IPR029751"	"Family"	"Ribosomal protein L25"
"IPR030217"	"Family"	"Nuclear RNA export factor"
"IPR030230"	"Family"	"GPN-loop GTPase 1"
"IPR030446"	"Family"	"Spermatid perinuclear RNA-binding protein"
"IPR030500"	"Family"	"Purine-rich element-binding protein alpha"
"IPR030644"	"Family"	"Septin 6"
"IPR030844"	"Family"	"PAN2-PAN3 deadenylation complex subunit PAN3"
"IPR030878"	"Family"	"Ribosomal protein L15"
"IPR031083"	"Family"	"3'-5' RNA helicase YTHDC2-like"
"IPR031121"	"Family"	"KH domain containing protein RIK/BLOM7"
"IPR031150"	"Family"	"BBP/SF1 family"
"IPR031776"	"Family"	"Splicing factor 3A subunit 3"
"IPR032337"	"Family"	"Cell-cycle alteration and expression-elevated protein in tumour"
"IPR032704"	"Family"	"Protein Cms1"
"IPR032747"	"Family"	"Nuclear fragile X mental retardation-interacting protein 2"
"IPR032922"	"Family"	"Protein SON"
"IPR033086"	"Family"	"RNA-binding protein Nova-1"
"IPR033087"	"Family"	"RNA-binding protein Nova-2"
"IPR033088"	"Family"	"Poly(rC)-binding protein 4"
"IPR033090"	"Family"	"Heterogeneous nuclear ribonucleoprotein K"
"IPR033093"	"Family"	"Ataxin2"
"IPR033094"	"Family"	"RNA-binding protein 5"
"IPR033095"	"Family"	"RNA-binding protein 10"
"IPR033096"	"Family"	"Zinc finger protein 638"
"IPR033099"	"Family"	"Interleukin enhancer-binding factor 3"
"IPR033101"	"Family"	"RNA-binding protein 45"
"IPR033103"	"Family"	"E3 ubiquitin-protein ligase DZIP3"
"IPR033104"	"Family"	"A-kinase anchor protein 1, mitochondrial"
"IPR033105"	"Family"	"Cleavage stimulation factor subunit 2"
"IPR033106"	"Family"	"G-rich sequence factor 1"
"IPR033107"	"Family"	"Eukaryotic translation initiation factor 4B"
"IPR033109"	"Family"	"RNA-binding protein EWS"
"IPR033111"	"Family"	"APOBEC1 complementation factor"
"IPR033499"	"Family"	"Trinucleotide repeat-containing gene 6C protein"
"IPR033500"	"Family"	"Trinucleotide repeat-containing gene 6B protein"
"IPR033501"	"Family"	"Trinucleotide repeat-containing gene 6A protein"
"IPR033503"	"Family"	"Protein Gawky"
"IPR033598"	"Family"	"WW domain-binding protein 2"
"IPR033599"	"Family"	"RNA polymerase I transcription initiation factor TAF1B/Rrn7"
"IPR033688"	"Family"	"RNA cytidine acetyltransferase NAT10"
"IPR033956"	"Family"	"Translin"
"IPR034078"	"Family"	"Transcription factor NFX1 family"
"IPR034375"	"Family"	"Ras GTPase-activating protein-binding protein 1"
"IPR034377"	"Family"	"Ras GTPase-activating protein-binding protein 2"
"IPR034442"	"Family"	"Putative RNA-binding protein 47"
"IPR034447"	"Family"	"Serine/arginine-rich splicing factor 11"
"IPR034463"	"Family"	"Putative RNA-binding protein 43"
"IPR034489"	"Family"	"hnRNP A2/B1"
"IPR034597"	"Family"	"PGC-1-related coactivator"
"IPR034605"	"Family"	"PGC-1"
"IPR034621"	"Family"	"Peroxisome proliferator-activated receptor gamma coactivator 1-beta"
"IPR034625"	"Family"	"Peroxisome proliferator-activated receptor gamma coactivator 1-alpha"
"IPR034629"	"Family"	"Pentatricopeptide repeat-containing protein 2, mitochondrial"
"IPR034632"	"Family"	"Myelin expression factor 2"
"IPR034635"	"Family"	"Ribonucleoprotein PTB-binding 1"
"IPR034636"	"Family"	"Ribonucleoprotein PTB-binding 2"
"IPR034724"	"Family"	"Chromodomain-helicase-DNA-binding protein 8"
"IPR034754"	"Family"	"Gemini of Cajal bodies-associated protein 8"
"IPR034762"	"Family"	"Bacterial/eukaryotic lysine-tRNA ligase, class II"
"IPR034769"	"Family"	"Cleavage and polyadenylation specificity factor subunit 6"
"IPR034770"	"Family"	"Cleavage and polyadenylation specificity factor subunit 7"
"IPR034778"	"Family"	"Deleted in azoospermia protein 1-4"
"IPR034779"	"Family"	"Deleted in azoospermia-like"
"IPR034780"	"Family"	"SAFB-like transcription modulator"
"IPR034781"	"Family"	"Scaffold attachment factor B1"
"IPR034782"	"Family"	"Scaffold attachment factor B2"
"IPR034791"	"Family"	"RNA-binding protein 20"
"IPR034819"	"Family"	"Cytoplasmic polyadenylation element-binding protein"
"IPR034861"	"Family"	"RNA-binding protein 26"
"IPR034870"	"Family"	"TAF15/EWS/TLS family"
"IPR034875"	"Family"	"TATA binding associated factor 15"
"IPR034886"	"Family"	"La-related protein 6"
"IPR034893"	"Family"	"Serine/arginine-rich splicing factor 2-like"
"IPR034911"	"Family"	"Polyadenylate-binding protein 2"
"IPR034913"	"Family"	"MRPS27/PTCD2"
"IPR034921"	"Family"	"Calcipressin-2"
"IPR034972"	"Family"	"Synaptojanin-1"
"IPR034997"	"Family"	"Inner nuclear membrane protein Man1"
"IPR035104"	"Family"	"Ribosomal protein S1-like"
"IPR035426"	"Family"	"Gemin2/Brr1"
"IPR037320"	"Family"	"Nucleolar protein of 40kDa"
"IPR037366"	"Family"	"BOULE/DAZ family"
"IPR037387"	"Family"	"Pentatricopeptide repeat domain-containing protein 3"
"IPR037679"	"Family"	"Anaphase-promoting complex subunit 5"
"IPR037770"	"Family"	"Cyclin-dependent kinase 7"
"IPR037794"	"Family"	"Transcription initiation factor TFIID subunit 12"
"IPR037796"	"Family"	"Transcription initiation factor TFIID subunit 6"
"IPR037813"	"Family"	"Transcription initiation factor TFIID subunit 2"
"IPR037818"	"Family"	"Transcription initiation factor TFIID subunit 8"
"IPR037895"	"Family"	"NudC domain-containing protein 1"
"IPR037912"	"Family"	"Microspherule protein 1"
"IPR037998"	"Family"	"Maternal protein exuperantia"
"IPR038801"	"Family"	"TATA box-binding protein-associated factor RNA polymerase I subunit C"
"IPR038899"	"Family"	"Methyltransferase-like protein 22"
"IPR039053"	"Family"	"Integrator complex subunit 12"
"IPR039109"	"Family"	"Ribosomal protein L30/YlxQ"
"IPR039119"	"Family"	"ABT1/Esf2"
"IPR039136"	"Family"	"NUFIP1-like"
"IPR039171"	"Family"	"Pre-mRNA-splicing factor Cwc2/Slt11"
"IPR039228"	"Family"	"SUZ domain-containing protein 1"
"IPR039294"	"Family"	"Probable RNA-binding protein EIF1AD"
"IPR039340"	"Family"	"Transcription factor Tfc4/TFIIIC-102/Sfc4"
"IPR039495"	"Family"	"TATA box-binding protein-associated factor RNA polymerase I subunit A"
"IPR039539"	"Family"	"Ras GTPase-activating protein-binding protein"
"IPR039547"	"Family"	"60S ribosomal protein L19"
"IPR039599"	"Family"	"RNA-binding protein 48"
"IPR039660"	"Family"	"Ribosomal protein L14"
"IPR039693"	"Family"	"Rtr1/RPAP2"
"IPR039727"	"Family"	"SERRATE/Ars2"
"IPR039742"	"Family"	"Protein Shq1"
"IPR039764"	"Family"	"RNA binding protein HABP4/SERBP1"
"IPR039771"	"Family"	"Exosome complex component Csl4"
"IPR039772"	"Family"	"RNA methyltransferase Bin3-like"
"IPR039848"	"Family"	"Ribosomal protein S24/S35, mitochondrial"
"IPR039878"	"Family"	"RNA-binding protein 33"
"IPR039907"	"Family"	"RNA-binding protein NOB1"
"IPR039994"	"Family"	"JmjC domain-containing"
"IPR039997"	"Family"	"Transcription factor E"
"IPR040000"	"Family"	"Nucleolar protein 9"
"IPR040002"	"Family"	"U6 snRNA-associated Sm-like protein Lsm3"
"IPR040018"	"Family"	"Exportin-5"
"IPR040050"	"Family"	"Zinc finger protein 830-like"
"IPR040052"	"Family"	"Splicing factor 45"
"IPR040059"	"Family"	"Pumilio homologue 3"
"IPR040136"	"Family"	"Terminal nucleotidyltransferase 4B"
"IPR040148"	"Family"	"Fragile X mental retardation syndrome-related protein"
"IPR040183"	"Family"	"THUMP domain-containing protein 1-like"
"IPR040224"	"Family"	"RAD52 motif-containing protein 1"
"IPR040243"	"Family"	"Steroid receptor RNA activator 1"
"IPR040255"	"Family"	"Non-specific endonuclease"
"IPR040258"	"Family"	"FACT complex subunit Spt16"
"IPR040293"	"Family"	"Protein WHAT'S THIS FACTOR 1-like"
"IPR040309"	"Family"	"H/ACA ribonucleoprotein complex non-core subunit Naf1"
"IPR040315"	"Family"	"WD repeat-containing protein WDR46/Utp7"
"IPR040322"	"Family"	"RNA-binding protein RO60"
"IPR040366"	"Family"	"Nuclear polyadenylated RNA-binding protein Nab2/ZC3H14"
"IPR040375"	"Family"	"Microprocessor complex subunit DGCR8"
"IPR040454"	"Family"	"Transcription factor IIIC subunit  Tfc1/Sfc1"
"IPR040456"	"Family"	"Ribonuclease H2 subunit B"
"IPR042225"	"Family"	"Negative cofactor 2 complex subunit beta"
"IPR042509"	"Family"	"Zinc finger CCHC domain-containing protein 3"
"IPR042622"	"Family"	"Zinc finger protein 106"
"IPR042626"	"Family"	"THO complex subunit 6"
"IPR044190"	"Family"	"Protein THYLAKOID ASSEMBLY 8-like"
"IPR044281"	"Family"	"U3 snoRNP protein/Ribosome production factor 1"
"IPR044598"	"Family"	"Zinc finger CCHC-type and RNA-binding motif-containing protein 1"
"IPR044957"	"Family"	"Ribosomal protein L32p, bacterial type"
"IPR044958"	"Family"	"Ribosomal protein L32p, plant/cyanobacteria type"
"IPR045001"	"Family"	"Developmentally regulated GTP-binding protein"
"IPR045056"	"Family"	"Nucleolar protein Nop56/Nop58"
"IPR045059"	"Family"	"60S ribosomal protein L35"
"IPR045065"	"Family"	"Exportin-1/5"
"IPR045071"	"Family"	"KH domain-containing BBP-like"
"IPR045077"	"Family"	"Ribosomal protein L3, archaeal/eukaryotic type"
"IPR045086"	"Family"	"OBG-type GTPase"
"IPR045097"	"Family"	"Thymidylate synthase/dCMP hydroxymethylase"
"IPR045117"	"Family"	"Ataxin2-like"
"IPR045124"	"Family"	"Protein suppressor of sable-like"
"IPR045125"	"Family"	"RNA polymerase II transcriptional coactivator Sub1/Tcp4-like"
"IPR045137"	"Family"	"RNA-binding protein 26/27"
"IPR045146"	"Family"	"Splicing factor 3A subunit 1"
"IPR045164"	"Family"	"RNA-binding region-containing protein RBM41/RNPC3"
"IPR045168"	"Family"	"YTH domain containing protein"
"IPR045234"	"Family"	"RING finger protein Unkempt-like"
"IPR045240"	"Family"	"Ribosomal protein L4, eukaryotic and archaeal type"
"IPR045245"	"Family"	"Pre-mRNA 3' end processing protein Pfs2-like"
"IPR045278"	"Family"	"Intron splicing facilitator CRS1/CFM2/CFM3"
"IPR045330"	"Family"	"Probable methyltransferase Trm3/TARBP1"
"IPR045334"	"Family"	"Integrator complex subunit 3"
"IPR045348"	"Family"	"CPSF complex subunit CPSF4-like"
"IPR045867"	"Family"	"DNA-directed RNA polymerase, subunit beta-prime"
"IPR045875"	"Family"	"Nuclear transport factor 2/Mtr2"
"IPR045877"	"Family"	"RNA-binding protein ZFP36-like"
