German Cancer Research Center (DKFZ) - Heidelberg - Germany 
 https://RBP2GO.dkfz.de 
 Wassmer et al., 2023 
 
 
"InterPro_ID"	"Type"	"InterPro_Name"	"Selection"
"IPR015413"	"Domain"	"Methionyl/Leucyl tRNA synthetase"	"Selected"
"IPR015590"	"Domain"	"Aldehyde dehydrogenase domain"	"Selected"
"IPR015847"	"Domain"	"Exoribonuclease, phosphorolytic domain 2"	"Selected"
"IPR015848"	"Domain"	"Polyribonucleotide nucleotidyltransferase, RNA-binding domain"	"Selected"
"IPR015866"	"Domain"	"Serine-tRNA synthetase, type1, N-terminal"	"Selected"
"IPR015929"	"Domain"	"Aconitase B, swivel"	"Selected"
"IPR015933"	"Domain"	"Aconitase B, HEAT-like domain"	"Selected"
"IPR015965"	"Domain"	"tRNA ligase, phosphodiesterase"	"Selected"
"IPR015966"	"Domain"	"tRNA ligase, kinase domain, fungi"	"Selected"
"IPR016009"	"Domain"	"tRNA methyltransferase TRMD/TRM10-type domain"	"Selected"
"IPR016061"	"Domain"	"Proline-tRNA ligase, class II, C-terminal"	"Selected"
"IPR016071"	"Domain"	"Staphylococcal nuclease (SNase-like), OB-fold"	"Selected"
"IPR016082"	"Domain"	"Ribosomal protein L30, ferredoxin-like fold domain"	"Selected"
"IPR016180"	"Domain"	"Ribosomal protein L10e/L16"	"Selected"
"IPR017879"	"Domain"	"PotA, ATP-binding domain"	"Selected"
"IPR017919"	"Domain"	"Transcription factor TFE/TFIIEalpha HTH domain"	"Selected"
"IPR018027"	"Domain"	"Asn/Gln amidotransferase"	"Selected"
"IPR018149"	"Domain"	"Lysyl-tRNA synthetase, class II, C-terminal"	"Selected"
"IPR018164"	"Domain"	"Alanyl-tRNA synthetase, class IIc, N-terminal"	"Selected"
"IPR018165"	"Domain"	"Alanyl-tRNA synthetase, class IIc, core domain"	"Selected"
"IPR018285"	"Domain"	"Methionyl-tRNA synthetase, N-terminal heteromerisation domain"	"Selected"
"IPR018515"	"Domain"	"Tuberin-type domain"	"Selected"
"IPR018545"	"Domain"	"Btz domain"	"Selected"
"IPR018593"	"Domain"	"tRNA-splicing endonuclease subunit Sen15"	"Selected"
"IPR018612"	"Domain"	"Nuclear speckle splicing regulatory protein 1, N-terminal"	"Selected"
"IPR018834"	"Domain"	"DNA/RNA-binding domain, Est1-type"	"Selected"
"IPR018835"	"Domain"	"RNA-binding domain, putative"	"Selected"
"IPR018846"	"Domain"	"Cleavage/polyadenylation specificity factor, A subunit, N-terminal"	"Selected"
"IPR018849"	"Domain"	"Nucleolar 27S pre-rRNA processing, Urb2/Npa2, C-terminal"	"Selected"
"IPR018850"	"Domain"	"Mitochondrial escape protein 2, C-terminal"	"Selected"
"IPR018885"	"Domain"	"mRNA-binding domain"	"Selected"
"IPR018952"	"Domain"	"2'-5'-oligoadenylate synthetase 1, domain 2/C-terminal"	"Selected"
"IPR018974"	"Domain"	"Tex-like protein, N-terminal"	"Selected"
"IPR018983"	"Domain"	"U3 small nucleolar RNA-associated protein 15, C-terminal"	"Selected"
"IPR018998"	"Domain"	"EndoU ribonuclease, C-terminal"	"Selected"
"IPR018999"	"Domain"	"RNA helicase UPF1, Cys/His rich zinc-binding domain"	"Selected"
"IPR019010"	"Domain"	"Eukaryotic translation initiation factor 3 subunit E, N-terminal"	"Selected"
"IPR019024"	"Domain"	"Ribonuclease H2 subunit B, wHTH domain"	"Selected"
"IPR019039"	"Domain"	"T4 RNA ligase 1, N-terminal"	"Selected"
"IPR019050"	"Domain"	"FDF domain"	"Selected"
"IPR019084"	"Domain"	"Stm1-like, N-terminal"	"Selected"
"IPR019136"	"Domain"	"Transcription factor IIIC subunit 5, HTH domain"	"Selected"
"IPR019147"	"Domain"	"Suppressor of white apricot, N-terminal domain"	"Selected"
"IPR019167"	"Domain"	"mRNA decay factor PAT1 domain"	"Selected"
"IPR019175"	"Domain"	"Prp31 C-terminal"	"Selected"
"IPR019181"	"Domain"	"Anticodon-binding domain"	"Selected"
"IPR019194"	"Domain"	"Transcription elongation factor  Eaf, N-terminal"	"Selected"
"IPR019333"	"Domain"	"Integrator complex subunit 3, N-terminal"	"Selected"
"IPR019349"	"Domain"	"Ribosomal protein S24/S35, mitochondrial, conserved domain"	"Selected"
"IPR019385"	"Domain"	"Phosphorylated adapter RNA export protein, RNA-binding domain"	"Selected"
"IPR019401"	"Domain"	"Zinc finger, CHCC-type"	"Selected"
"IPR019447"	"Domain"	"DNA/RNA-binding protein Kin17, WH-like domain"	"Selected"
"IPR019458"	"Domain"	"Telomerase activating protein Est1, N-terminal"	"Selected"
"IPR019462"	"Domain"	"DNA-directed RNA polymerase, beta subunit, external 1 domain"	"Selected"
"IPR019475"	"Domain"	"DNA primase, DnaB-helicase binding domain"	"Selected"
"IPR019486"	"Domain"	"Argonaute hook domain"	"Selected"
"IPR019495"	"Domain"	"Exosome complex component CSL4, C-terminal"	"Selected"
"IPR019496"	"Domain"	"Nuclear fragile X mental retardation-interacting protein 1, conserved domain"	"Selected"
"IPR019510"	"Domain"	"Protein kinase A anchor protein, nuclear localisation signal domain"	"Selected"
"IPR019580"	"Domain"	"Pre-mRNA-processing-splicing factor 8, U6-snRNA-binding"	"Selected"
"IPR019581"	"Domain"	"Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding"	"Selected"
"IPR019582"	"Domain"	"RNA recognition motif, spliceosomal PrP8"	"Selected"
"IPR019607"	"Domain"	"Putative zinc-finger domain"	"Selected"
"IPR019783"	"Domain"	"Ribosome maturation protein Sdo1/SBDS, N-terminal"	"Selected"
"IPR019787"	"Domain"	"Zinc finger, PHD-finger"	"Selected"
"IPR019814"	"Domain"	"Translation initiation factor 3, N-terminal"	"Selected"
"IPR019815"	"Domain"	"Translation initiation factor 3, C-terminal"	"Selected"
"IPR019844"	"Domain"	"Cold-shock (CSD) domain"	"Selected"
"IPR020040"	"Domain"	"Ribosomal protein L6, alpha-beta domain"	"Selected"
"IPR020057"	"Domain"	"Ribosomal protein L25, beta domain"	"Selected"
"IPR020058"	"Domain"	"Glutamyl/glutaminyl-tRNA synthetase, class Ib, catalytic domain"	"Selected"
"IPR020059"	"Domain"	"Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain"	"Selected"
"IPR020069"	"Domain"	"Ribosomal protein L9, C-terminal"	"Selected"
"IPR020070"	"Domain"	"Ribosomal protein L9, N-terminal"	"Selected"
"IPR020097"	"Domain"	"Pseudouridine synthase I, TruA, alpha/beta domain"	"Selected"
"IPR020189"	"Domain"	"Translation elongation factor, IF5A C-terminal"	"Selected"
"IPR020598"	"Domain"	"Ribosomal RNA adenine methylase transferase, N-terminal"	"Selected"
"IPR020783"	"Domain"	"Ribosomal protein L11, C-terminal"	"Selected"
"IPR020784"	"Domain"	"Ribosomal protein L11, N-terminal"	"Selected"
"IPR020838"	"Domain"	"DBINO domain"	"Selected"
"IPR021083"	"Domain"	"Nuclear abundant poly(A) RNA-binding protein Nab2, N-terminal"	"Selected"
"IPR021131"	"Domain"	"Ribosomal protein L18e/L15P"	"Selected"
"IPR021418"	"Domain"	"THO complex, subunitTHOC2, C-terminal"	"Selected"
"IPR021673"	"Domain"	"RIG-I-like receptor, C-terminal regulatory domain"	"Selected"
"IPR021714"	"Domain"	"Nucleolar pre-ribosomal-associated protein 1, N-terminal"	"Selected"
"IPR021715"	"Domain"	"Pre-mRNA-splicing factor SLU7 domain"	"Selected"
"IPR021718"	"Domain"	"Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term"	"Selected"
"IPR021721"	"Domain"	"Zinc finger, CCCH-type, TRM13"	"Selected"
"IPR021726"	"Domain"	"THO complex, subunitTHOC2, N-terminal"	"Selected"
"IPR021752"	"Domain"	"Transcription initiation factor Rrn7, Zinc-finger"	"Selected"
"IPR021757"	"Domain"	"Ribosomal protein L46, N-terminal"	"Selected"
"IPR021786"	"Domain"	"Pre-mRNA splicing factor component Cdc5p/Cef1, C-terminal"	"Selected"
"IPR021790"	"Domain"	"PTBP1, RNA recognition motif 2-like"	"Selected"
"IPR021869"	"Domain"	"Ribonuclease Zc3h12a-like, NYN domain"	"Selected"
"IPR021891"	"Domain"	"Telomerase ribonucleoprotein complex - RNA-binding domain"	"Selected"
"IPR021933"	"Domain"	"SERRATE/Ars2, N-terminal"	"Selected"
"IPR021966"	"Domain"	"Splicing factor SF3a60 binding domain"	"Selected"
"IPR021968"	"Domain"	"Polyribonucleotide phosphorylase C-terminal"	"Selected"
"IPR021983"	"Domain"	"PRP8 domain IV core"	"Selected"
"IPR022023"	"Domain"	"U1 small nuclear ribonucleoprotein of 70kDa N-terminal"	"Selected"
"IPR022030"	"Domain"	"Splicing factor 3A subunit 1, conserved domain"	"Selected"
"IPR022031"	"Domain"	"Telomere-associated protein Rif1, N-terminal"	"Selected"
"IPR022034"	"Domain"	"Fragile X-related 1 protein, C-terminal core"	"Selected"
"IPR022039"	"Domain"	"Post-transcriptional regulator MKT1, C-terminal"	"Selected"
"IPR022040"	"Domain"	"Post-transcriptional regulator MKT1, N-terminal"	"Selected"
"IPR022070"	"Domain"	"Cytoplasmic activation/proliferation-associated protein-1 C term"	"Selected"
"IPR022075"	"Domain"	"Symplekin  C-terminal"	"Selected"
"IPR022091"	"Domain"	"TATA element modulatory factor 1, TATA binding"	"Selected"
"IPR022125"	"Domain"	"U3 small nucleolar RNA-associated protein 10, N-terminal"	"Selected"
"IPR022192"	"Domain"	"Mitochondrial degradasome RNA helicase subunit, C-terminal domain"	"Selected"
"IPR022383"	"Domain"	"Lactate/malate dehydrogenase, C-terminal"	"Selected"
"IPR022581"	"Domain"	"Spt5 transcription elongation factor, N-terminal"	"Selected"
"IPR022666"	"Domain"	"Ribosomal Proteins L2, RNA binding domain"	"Selected"
"IPR022669"	"Domain"	"Ribosomal protein L2, C-terminal"	"Selected"
"IPR022712"	"Domain"	"Beta-Casp domain"	"Selected"
"IPR022724"	"Domain"	"RNA methyltransferase, SpoU/TrmH type, C-terminal"	"Selected"
"IPR022745"	"Domain"	"Eukaryotic translation initiation factor 4G1, eIF4E-binding domain"	"Selected"
"IPR022755"	"Domain"	"Zinc finger, double-stranded RNA binding"	"Selected"
"IPR022776"	"Domain"	"TRM13/UPF0224 family, U11-48K-like CHHC zinc finger domain"	"Selected"
"IPR022800"	"Domain"	"Spt4/RpoE2 zinc finger"	"Selected"
"IPR022967"	"Domain"	"RNA-binding domain, S1"	"Selected"
"IPR023115"	"Domain"	"Translation initiation factor IF- 2, domain 3"	"Selected"
"IPR023342"	"Domain"	"APO domain"	"Selected"
"IPR023412"	"Domain"	"Ribonuclease A-domain"	"Selected"
"IPR023451"	"Domain"	"Thymidylate synthase/dCMP hydroxymethylase domain"	"Selected"
"IPR023573"	"Domain"	"Ribosomal protein 50S-L18Ae/60S-L20/60S-L18A"	"Selected"
"IPR023584"	"Domain"	"Ribosome recycling factor domain"	"Selected"
"IPR023611"	"Domain"	"Ribosomal protein S23/S25, mitochondrial"	"Selected"
"IPR023780"	"Domain"	"Chromo domain"	"Selected"
"IPR023797"	"Domain"	"RNA 3'-terminal phosphate cyclase domain"	"Selected"
"IPR023798"	"Domain"	"Ribosomal protein S7 domain"	"Selected"
"IPR024057"	"Domain"	"Nucleoplasmin core domain"	"Selected"
"IPR024161"	"Domain"	"Zinc finger, nanos-type"	"Selected"
"IPR024261"	"Domain"	"RNA binding protein She2"	"Selected"
"IPR024336"	"Domain"	"tRNA-splicing endonuclease, subunit Sen54, N-terminal"	"Selected"
"IPR024366"	"Domain"	"Alpha-ketoglutarate-dependent dioxygenase FTO, C-terminal"	"Selected"
"IPR024367"	"Domain"	"Alpha-ketoglutarate-dependent dioxygenase FTO, catalytic domain"	"Selected"
"IPR024435"	"Domain"	"Histidyl tRNA synthetase-related domain"	"Selected"
"IPR024481"	"Domain"	"Helicase Sen1, N-terminal"	"Selected"
"IPR024567"	"Domain"	"Ribonuclease HII/HIII domain"	"Selected"
"IPR024598"	"Domain"	"Splicing factor SF3a60 /Prp9 subunit,  C-terminal"	"Selected"
"IPR024642"	"Domain"	"SUZ-C domain"	"Selected"
"IPR024657"	"Domain"	"COMPASS complex Set1 subunit, N-SET domain"	"Selected"
"IPR024666"	"Domain"	"HnRNP M, nuclear localisation signal"	"Selected"
"IPR024675"	"Domain"	"Eukaryotic translation initiation factor 3 subunit G, N-terminal"	"Selected"
"IPR024721"	"Domain"	"Snurportin-1, N-terminal"	"Selected"
"IPR024766"	"Domain"	"Zinc finger, RING-H2-type"	"Selected"
"IPR024771"	"Domain"	"SUZ domain"	"Selected"
"IPR024945"	"Domain"	"Spt5 C-terminal domain"	"Selected"
"IPR024956"	"Domain"	"tRNAHis guanylyltransferase catalytic domain"	"Selected"
"IPR024970"	"Domain"	"Maelstrom domain"	"Selected"
"IPR025223"	"Domain"	"S1-like RNA binding domain"	"Selected"
"IPR025249"	"Domain"	"KH domain, NusA-like"	"Selected"
"IPR025605"	"Domain"	"OST-HTH/LOTUS domain"	"Selected"
"IPR025609"	"Domain"	"Lsm14-like, N-terminal"	"Selected"
"IPR025670"	"Domain"	"Fox-1 C-terminal domain"	"Selected"
"IPR025696"	"Domain"	"rRNA-processing arch domain"	"Selected"
"IPR025715"	"Domain"	"Chromatin target of PRMT1 protein, C-terminal"	"Selected"
"IPR025721"	"Domain"	"Exosome complex component, N-terminal domain"	"Selected"
"IPR025761"	"Domain"	"FFD box"	"Selected"
"IPR025762"	"Domain"	"DFDF domain"	"Selected"
"IPR025768"	"Domain"	"TFG box"	"Selected"
"IPR025777"	"Domain"	"GMP synthetase ATP pyrophosphatase domain"	"Selected"
"IPR025829"	"Domain"	"Zinc knuckle CX2CX3GHX4C"	"Selected"
"IPR025852"	"Domain"	"Ataxin 2, SM domain"	"Selected"
"IPR025862"	"Domain"	"L-seryl-tRNA selenium transferase N-terminal domain"	"Selected"
"IPR025995"	"Domain"	"RNA binding activity-knot of a chromodomain"	"Selected"
"IPR026000"	"Domain"	"Anaphase-promoting complex subunit 5 domain"	"Selected"
"IPR026904"	"Domain"	"tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG, C-terminal"	"Selected"
"IPR027391"	"Domain"	"rRNA small subunit methyltransferase F, RNA-binding PUA-like domain"	"Selected"
"IPR027450"	"Domain"	"Alpha-ketoglutarate-dependent dioxygenase AlkB-like"	"Selected"
"IPR027486"	"Domain"	"Ribosomal protein S10 domain"	"Selected"
"IPR027794"	"Domain"	"tRNase Z endonuclease"	"Selected"
"IPR027815"	"Domain"	"10TM putative phosphate transporter, cytosolic domain"	"Selected"
"IPR027992"	"Domain"	"Possible tRNA binding domain"	"Selected"
"IPR028564"	"Domain"	"tRNA methyltransferase TRM10-type domain"	"Selected"
"IPR029004"	"Domain"	"Ribosomal L28e/Mak16"	"Selected"
"IPR029190"	"Domain"	"Ribosomal RNA-processing protein 14/surfeit locus protein 6, C-terminal domain"	"Selected"
"IPR029262"	"Domain"	"DNA-directed RNA polymerase, N-terminal"	"Selected"
"IPR029344"	"Domain"	"Histone RNA hairpin-binding protein, RNA-binding domain"	"Selected"
"IPR029351"	"Domain"	"GAD domain"	"Selected"
"IPR029360"	"Domain"	"Serine/arginine repetitive matrix protein, C-terminal"	"Selected"
"IPR029444"	"Domain"	"Integrator complex subunit 5, C-terminal"	"Selected"
"IPR029445"	"Domain"	"Integrator complex subunit 5, N-terminal"	"Selected"
"IPR030378"	"Domain"	"Circularly permuted (CP)-type guanine nucleotide-binding (G) domain"	"Selected"
"IPR030382"	"Domain"	"SAM-dependent methyltransferase TRM5/TYW2-type"	"Selected"
"IPR030388"	"Domain"	"Era-type guanine nucleotide-binding (G) domain"	"Selected"
"IPR031162"	"Domain"	"CBP/p300-type histone acetyltransferase domain"	"Selected"
"IPR031167"	"Domain"	"OBG-type guanine nucleotide-binding (G) domain"	"Selected"
"IPR031309"	"Domain"	"Ribosomal protein L5, C-terminal"	"Selected"
"IPR031310"	"Domain"	"Ribosomal protein L5, N-terminal"	"Selected"
"IPR031336"	"Domain"	"Cell division control protein 73, C-terminal"	"Selected"
"IPR031615"	"Domain"	"MYND-like zinc finger"	"Selected"
"IPR031766"	"Domain"	"Occluded RNA-recognition motif"	"Selected"
"IPR031952"	"Domain"	"KH-like RNA-binding domain"	"Selected"
"IPR032226"	"Domain"	"TNRC6, PABC binding domain"	"Selected"
"IPR032292"	"Domain"	"Cytoplasmic polyadenylation element-binding protein 1, N-terminal"	"Selected"
"IPR032335"	"Domain"	"Sam68, tyrosine-rich domain"	"Selected"
"IPR032367"	"Domain"	"Protein quaking, putative nuclear localisation signal"	"Selected"
"IPR032377"	"Domain"	"STAR protein, homodimerisation region"	"Selected"
"IPR032473"	"Domain"	"Protein argonaute, Mid domain"	"Selected"
"IPR032478"	"Domain"	"Staufen, C-terminal"	"Selected"
"IPR032570"	"Domain"	"Splicing factor 1, helix-hairpin domain"	"Selected"
"IPR032571"	"Domain"	"KHDRBS, Qua1 domain"	"Selected"
"IPR032678"	"Domain"	"tRNA synthetases class I, catalytic domain"	"Selected"
"IPR032680"	"Domain"	"SUN domain-containing protein 1, N-terminal"	"Selected"
"IPR032828"	"Domain"	"tRNA nucleotidyltransferase/poly(A) polymerase, RNA and SrmB- binding domain"	"Selected"
"IPR033110"	"Domain"	"ROD1, RNA recognition motif 4"	"Selected"
"IPR033133"	"Domain"	"Pumilio homology domain"	"Selected"
"IPR033411"	"Domain"	"Ribonuclease, PIN domain"	"Selected"
"IPR033461"	"Domain"	"Putative WW-binding domain and destruction box"	"Selected"
"IPR033646"	"Domain"	"CLU central domain"	"Selected"
"IPR033647"	"Domain"	"AAR2, N-terminal"	"Selected"
"IPR033648"	"Domain"	"AAR2, C-terminal"	"Selected"
"IPR033712"	"Domain"	"Pumilio, RNA binding domain"	"Selected"
"IPR033744"	"Domain"	"RBM8, RNA recognition motif"	"Selected"
"IPR033910"	"Domain"	"Glutamyl-tRNA synthetase"	"Selected"
"IPR033911"	"Domain"	"Methioninyl-tRNA synthetase core domain"	"Selected"
"IPR034012"	"Domain"	"Pol II subunit B9, C-terminal zinc ribbon"	"Selected"
"IPR034014"	"Domain"	"Pol III subunit C11, C-terminal zinc ribbon"	"Selected"
"IPR034068"	"Domain"	"Sperm-associated antigen 7, R3H domain"	"Selected"
"IPR034069"	"Domain"	"R3H domain, Cip2-type"	"Selected"
"IPR034071"	"Domain"	"NF-kappaB-repression factor, R3H domain"	"Selected"
"IPR034072"	"Domain"	"DNA-binding protein SMUBP-2, R3H domain"	"Selected"
"IPR034076"	"Domain"	"Transcriptional repressor NF-X1, R3H domain"	"Selected"
"IPR034077"	"Domain"	"FKBP12-associated protein 1, R3H domain"	"Selected"
"IPR034082"	"Domain"	"Protein SQS1, R3H domain"	"Selected"
"IPR034083"	"Domain"	"DExH-box ATP-dependent RNA helicase, R3H domain"	"Selected"
"IPR034085"	"Domain"	"TOG domain"	"Selected"
"IPR034105"	"Domain"	"Sm-like protein Lsm3"	"Selected"
"IPR034123"	"Domain"	"RBM6, RNA recognition motif 1"	"Selected"
"IPR034125"	"Domain"	"RBM6, RNA recognition motif 2"	"Selected"
"IPR034126"	"Domain"	"RNA-binding protein Musashi homologue, RNA recognition motif 2"	"Selected"
"IPR034130"	"Domain"	"RNA-binding protein Musashi homologue, RNA recognition motif 1"	"Selected"
"IPR034131"	"Domain"	"DAZ-associated protein 1, RNA recognition motif 2"	"Selected"
"IPR034134"	"Domain"	"DAZ-associated protein 1, RNA recognition motif 1"	"Selected"
"IPR034138"	"Domain"	"Nucleolar protein 8, RNA recognition motif"	"Selected"
"IPR034140"	"Domain"	"Ecto-NOX disulfide-thiol exchanger, RNA recognition motif"	"Selected"
"IPR034143"	"Domain"	"snRNP70, RNA recognition motif"	"Selected"
"IPR034146"	"Domain"	"snRNP35, RNA recognition motif"	"Selected"
"IPR034147"	"Domain"	"RBM40, RNA recognition motif 1"	"Selected"
"IPR034148"	"Domain"	"NCBP2, RNA recognition motif"	"Selected"
"IPR034150"	"Domain"	"SF3B6, RNA recognition motif"	"Selected"
"IPR034152"	"Domain"	"SLIRP, RNA recognition motif"	"Selected"
"IPR034156"	"Domain"	"HRP1, RNA recognition motif 1"	"Selected"
"IPR034158"	"Domain"	"SF3B4, RNA recognition motif 1"	"Selected"
"IPR034159"	"Domain"	"SF3B4, RNA recognition motif 2"	"Selected"
"IPR034166"	"Domain"	"Npl3, RNA recognition motif 1"	"Selected"
"IPR034167"	"Domain"	"Nab3, RNA recognition motif"	"Selected"
"IPR034168"	"Domain"	"Peptidyl-prolyl cis-trans isomerase E, RNA recognition motif"	"Selected"
"IPR034172"	"Domain"	"SHARP, RNA recognition motif 1"	"Selected"
"IPR034173"	"Domain"	"SHARP, RNA recognition motif 2"	"Selected"
"IPR034174"	"Domain"	"SHARP, RNA recognition motif 3"	"Selected"
"IPR034175"	"Domain"	"SHARP, RNA recognition motif 4"	"Selected"
"IPR034177"	"Domain"	"PPARGC1B, RNA recognition motif"	"Selected"
"IPR034181"	"Domain"	"Pre-mRNA-splicing factor Cwc2, RNA recognition motif"	"Selected"
"IPR034186"	"Domain"	"Pin4-like, RNA recognition motif"	"Selected"
"IPR034189"	"Domain"	"MARF1, RNA recognition motif 1"	"Selected"
"IPR034191"	"Domain"	"MARF1, RNA recognition motif 2"	"Selected"
"IPR034192"	"Domain"	"SREK1, RNA recognition motif 2"	"Selected"
"IPR034194"	"Domain"	"Mrn1, RNA recognition motif 2"	"Selected"
"IPR034195"	"Domain"	"Mrn1, RNA recognition motif 1"	"Selected"
"IPR034196"	"Domain"	"CELF1/2, RNA recognition motif 1"	"Selected"
"IPR034198"	"Domain"	"CELF1/2, RNA recognition motif 2"	"Selected"
"IPR034199"	"Domain"	"CELF1/2, RNA recognition motif 3"	"Selected"
"IPR034200"	"Domain"	"RDM1, RNA recognition motif"	"Selected"
"IPR034201"	"Domain"	"RNPS1, RNA recognition motif"	"Selected"
"IPR034203"	"Domain"	"RBM45, RNA recognition motif 1"	"Selected"
"IPR034206"	"Domain"	"RBM45, RNA recognition motif 2"	"Selected"
"IPR034207"	"Domain"	"RBM45, RNA recognition motif 3"	"Selected"
"IPR034208"	"Domain"	"RBM45, RNA recognition motif 4"	"Selected"
"IPR034209"	"Domain"	"PUF60, RNA recognition motif 1"	"Selected"
"IPR034211"	"Domain"	"PUF60, RNA recognition motif 2"	"Selected"
"IPR034212"	"Domain"	"PUF60, RNA recognition motif 3"	"Selected"
"IPR034215"	"Domain"	"RBM42, RNA recognition motif"	"Selected"
"IPR034217"	"Domain"	"SART3, RNA recognition motif 1"	"Selected"
"IPR034218"	"Domain"	"SART3, RNA recognition motif 2"	"Selected"
"IPR034219"	"Domain"	"ZCRB1, RNA recognition motif"	"Selected"
"IPR034220"	"Domain"	"RBM34, RNA recognition motif 1"	"Selected"
"IPR034221"	"Domain"	"RBM34, RNA recognition motif 2"	"Selected"
"IPR034225"	"Domain"	"Nop13/Rnp24, RNA recognition motif 1"	"Selected"
"IPR034226"	"Domain"	"Nop13/Rnp24, RNA recognition motif 2"	"Selected"
"IPR034228"	"Domain"	"Nop6, RNA recognition motif"	"Selected"
"IPR034229"	"Domain"	"eIF4H, RNA recognition motif"	"Selected"
"IPR034230"	"Domain"	"Nucleolin, RNA recognition motif 1"	"Selected"
"IPR034233"	"Domain"	"Nucleolin, RNA recognition motif 2"	"Selected"
"IPR034234"	"Domain"	"Nucleolin, RNA recognition motif 3"	"Selected"
"IPR034235"	"Domain"	"Nucleolin, RNA recognition motif 4"	"Selected"
"IPR034237"	"Domain"	"FOX1, RNA recognition motif"	"Selected"
"IPR034240"	"Domain"	"eIF3G, RNA recognition motif"	"Selected"
"IPR034244"	"Domain"	"Rrt5, RNA recognition motif 1"	"Selected"
"IPR034254"	"Domain"	"DNAJC17, RNA recognition motif"	"Selected"
"IPR034256"	"Domain"	"ALKBH8, RNA recognition motif"	"Selected"
"IPR034257"	"Domain"	"Acinus, RNA recognition motif"	"Selected"
"IPR034260"	"Domain"	"Yme2, RNA recognition motif"	"Selected"
"IPR034261"	"Domain"	"CNOT4, RNA recognition motif"	"Selected"
"IPR034262"	"Domain"	"TRMT2A, RNA recognition motif"	"Selected"
"IPR034264"	"Domain"	"RBM48, RNA recognition motif"	"Selected"
"IPR034265"	"Domain"	"MCM3AP, RNA recognition motif"	"Selected"
"IPR034268"	"Domain"	"RBM25, RNA recognition motif"	"Selected"
"IPR034276"	"Domain"	"Gar2, RNA recognition motif 2"	"Selected"
"IPR034278"	"Domain"	"RBM3/CIRBP, RNA recognition motif"	"Selected"
"IPR034326"	"Domain"	"ROD1, RNA recognition motif 1"	"Selected"
"IPR034349"	"Domain"	"NUCL, RNA recognition motif 1"	"Selected"
"IPR034350"	"Domain"	"NUCL, RNA recognition motif 2"	"Selected"
"IPR034351"	"Domain"	"Nrp1, RNA recognition motif"	"Selected"
"IPR034352"	"Domain"	"Rim4/Msa1, RNA recognition motif 1"	"Selected"
"IPR034353"	"Domain"	"ABT1/ESF2, RNA recognition motif"	"Selected"
"IPR034356"	"Domain"	"Slt11, RNA recognition motif"	"Selected"
"IPR034357"	"Domain"	"Yra1/Mlo3, RNA recognition motif"	"Selected"
"IPR034359"	"Domain"	"MTHFSD, RNA recognition motif"	"Selected"
"IPR034361"	"Domain"	"PHIP1, RNA recognition motif 1"	"Selected"
"IPR034362"	"Domain"	"PHIP1, RNA recognition motif 2"	"Selected"
"IPR034363"	"Domain"	"eIF3B, RNA recognition motif"	"Selected"
"IPR034369"	"Domain"	"SCAF4, RNA recognition motif"	"Selected"
"IPR034370"	"Domain"	"SCAF8, RNA recognition motif"	"Selected"
"IPR034371"	"Domain"	"UHMK1, RNA recognition motif"	"Selected"
"IPR034374"	"Domain"	"G3BP1, RNA recognition motif"	"Selected"
"IPR034376"	"Domain"	"G3BP2, RNA recognition motif"	"Selected"
"IPR034388"	"Domain"	"Star-PAP, RNA recognition motif"	"Selected"
"IPR034392"	"Domain"	"TatSF1-like, RNA recognition motif 1"	"Selected"
"IPR034394"	"Domain"	"MAN1, RNA recognition motif"	"Selected"
"IPR034396"	"Domain"	"Yra2, RNA recognition motif"	"Selected"
"IPR034397"	"Domain"	"Prp24, RNA recognition motif1"	"Selected"
"IPR034398"	"Domain"	"Prp24, RNA recognition motif2"	"Selected"
"IPR034404"	"Domain"	"MSSP-1, RNA recognition motif 1"	"Selected"
"IPR034406"	"Domain"	"RBMS3, RNA recognition motif  2"	"Selected"
"IPR034407"	"Domain"	"U1 small nuclear ribonucleoprotein A, RNA recognition motif  1"	"Selected"
"IPR034409"	"Domain"	"U1 small nuclear ribonucleoprotein A, RNA recognition motif  2"	"Selected"
"IPR034411"	"Domain"	"Heterogeneous nuclear ribonucleoprotein R, RNA recognition motif 2"	"Selected"
"IPR034414"	"Domain"	"Dead end protein 1, RNA recognition motif 1"	"Selected"
"IPR034415"	"Domain"	"CsdA, RNA recognition motif"	"Selected"
"IPR034417"	"Domain"	"Probable RNA-binding protein 19, RNA recognition motif 2"	"Selected"
"IPR034418"	"Domain"	"Probable RNA-binding protein 19, RNA recognition motif 1"	"Selected"
"IPR034419"	"Domain"	"Probable RNA-binding protein 19, RNA recognition motif 3"	"Selected"
"IPR034420"	"Domain"	"Probable RNA-binding protein 19, RNA recognition motif 4"	"Selected"
"IPR034421"	"Domain"	"Probable RNA-binding protein 19, RNA recognition motif 6"	"Selected"
"IPR034423"	"Domain"	"Probable RNA-binding protein 19, RNA recognition motif 5"	"Selected"
"IPR034424"	"Domain"	"GRSF-1, RNA recognition motif 2"	"Selected"
"IPR034425"	"Domain"	"GRSF-1, RNA recognition motif 1"	"Selected"
"IPR034426"	"Domain"	"GRSF-1, RNA recognition motif 3"	"Selected"
